Frequence (Hz),Module (Ohm),Phase (deg)
10.00,15915.18,-89.64
10.19,15624.11,-89.63
10.38,15338.36,-89.63
10.57,15057.83,-89.62
10.77,14782.44,-89.61
10.97,14512.08,-89.61
11.17,14246.67,-89.60
11.38,13986.11,-89.59
11.59,13730.31,-89.58
11.81,13479.19,-89.57
12.03,13232.67,-89.57
12.25,12990.65,-89.56
12.48,12753.06,-89.55
12.71,12519.81,-89.54
12.95,12290.83,-89.53
13.19,12066.04,-89.53
13.44,11845.36,-89.52
13.69,11628.71,-89.51
13.94,11416.02,-89.50
14.20,11207.23,-89.49
14.47,11002.25,-89.48
14.73,10801.02,-89.47
15.01,10603.47,-89.46
15.29,10409.54,-89.45
15.57,10219.15,-89.44
15.86,10032.24,-89.43
16.16,9848.75,-89.42
16.46,9668.61,-89.41
16.77,9491.77,-89.40
17.08,9318.16,-89.39
17.40,9147.73,-89.37
17.72,8980.41,-89.36
18.05,8816.15,-89.35
18.39,8654.90,-89.34
18.73,8496.60,-89.33
19.08,8341.19,-89.31
19.43,8188.62,-89.30
19.80,8038.84,-89.29
20.17,7891.80,-89.27
20.54,7747.45,-89.26
20.92,7605.74,-89.25
21.31,7466.62,-89.23
21.71,7330.04,-89.22
22.12,7195.96,-89.20
22.53,7064.33,-89.19
22.95,6935.11,-89.17
23.37,6808.26,-89.16
23.81,6683.72,-89.14
24.25,6561.46,-89.13
24.71,6441.43,-89.11
25.17,6323.60,-89.09
25.63,6207.92,-89.08
26.11,6094.36,-89.06
26.60,5982.87,-89.04
27.09,5873.43,-89.02
27.60,5765.98,-89.01
28.11,5660.50,-88.99
28.64,5556.94,-88.97
29.17,5455.28,-88.95
29.71,5355.48,-88.93
30.27,5257.50,-88.91
30.83,5161.32,-88.89
31.40,5066.89,-88.87
31.99,4974.19,-88.85
32.59,4883.18,-88.83
33.19,4793.84,-88.80
33.81,4706.13,-88.78
34.44,4620.02,-88.76
35.08,4535.49,-88.74
35.74,4452.51,-88.71
36.40,4371.04,-88.69
37.08,4291.05,-88.66
37.77,4212.54,-88.64
38.47,4135.45,-88.61
39.19,4059.78,-88.59
39.92,3985.48,-88.56
40.66,3912.55,-88.54
41.42,3840.95,-88.51
42.19,3770.66,-88.48
42.98,3701.65,-88.45
43.78,3633.90,-88.42
44.60,3567.39,-88.39
45.43,3502.10,-88.36
46.27,3438.00,-88.33
47.14,3375.07,-88.30
48.01,3313.29,-88.27
48.91,3252.64,-88.24
49.82,3193.10,-88.21
50.75,3134.65,-88.17
51.69,3077.26,-88.14
52.66,3020.92,-88.10
53.64,2965.61,-88.07
54.64,2911.32,-88.03
55.65,2858.01,-87.99
56.69,2805.68,-87.96
57.75,2754.30,-87.92
58.82,2703.86,-87.88
59.92,2654.35,-87.84
61.03,2605.73,-87.80
62.17,2558.01,-87.76
